saniye,temp_c,volt,volt_psu
137.0,52.7683,1.654,11.7
138.0,52.7656,1.656,11.7
139.0,52.7628,1.663,11.69
140.0,52.7601,1.665,11.68
141.0,52.7573,1.662,11.69
142.0,52.7545,1.661,11.7
143.0,52.7516,1.659,11.7
144.0,52.7488,1.658,11.7
145.0,52.7459,1.658,11.7
146.0,52.7431,1.657,11.7
147.0,52.7402,1.657,11.71
148.0,52.7373,1.663,11.71
149.0,52.7344,1.666,11.71
150.0,52.7315,1.663,11.7
151.0,52.7286,1.659,11.7
152.0,52.7257,1.656,11.69
153.0,52.7227,1.655,11.69
154.0,52.7198,1.66,11.68
155.0,52.7169,1.662,11.69
156.0,52.714,1.661,11.7
157.0,52.7111,1.662,11.71
158.0,52.7082,1.663,11.72
159.0,52.7053,1.661,11.71
160.0,52.7024,1.658,11.7
161.0,52.6996,1.656,11.7
162.0,52.6967,1.655,11.7
163.0,52.6939,1.66,11.69
164.0,52.6911,1.666,11.69
165.0,52.6883,1.664,11.7
166.0,52.6856,1.661,11.7
167.0,52.6829,1.659,11.69
168.0,52.6802,1.656,11.69
169.0,52.6775,1.658,11.7
170.0,52.6749,1.659,11.71
171.0,52.6723,1.658,11.72
172.0,52.6698,1.661,11.71
173.0,52.6673,1.665,11.71
174.0,52.6649,1.664,11.7
175.0,52.6625,1.66,11.69
176.0,52.6601,1.657,11.68
177.0,52.6578,1.654,11.68
178.0,52.6556,1.657,11.69
179.0,52.6534,1.663,11.7
180.0,52.6513,1.663,11.71
181.0,52.6492,1.662,11.71
182.0,52.6472,1.662,11.71
183.0,52.6453,1.66,11.71
184.0,52.6434,1.658,11.71
185.0,52.6416,1.658,11.71
186.0,52.6399,1.656,11.7
187.0,52.6382,1.658,11.7
188.0,52.6366,1.665,11.69
189.0,52.6351,1.666,11.69
190.0,52.6337,1.662,11.69
191.0,52.6323,1.659,11.69
192.0,52.6311,1.655,11.7
193.0,52.6299,1.656,11.71
194.0,52.6288,1.66,11.72
195.0,52.6278,1.661,11.71
196.0,52.6268,1.66,11.71
197.0,52.626,1.663,11.7
198.0,52.6252,1.664,11.7
199.0,52.6246,1.661,11.69
200.0,52.624,1.658,11.69
201.0,52.6235,1.655,11.69
202.0,52.6231,1.655,11.7
203.0,52.6228,1.662,11.7
204.0,52.6226,1.665,11.7
205.0,52.6224,1.663,11.7
206.0,52.6224,1.661,11.7
207.0,52.6224,1.659,11.71
208.0,52.6226,1.657,11.71
209.0,52.6228,1.658,11.71
210.0,52.6231,1.658,11.7
211.0,52.6236,1.657,11.7
212.0,52.6241,1.662,11.69
213.0,52.6246,1.666,11.68
214.0,52.6253,1.664,11.68
215.0,52.6261,1.66,11.7
216.0,52.6269,1.656,11.71
217.0,52.6279,1.654,11.71
218.0,52.6289,1.659,11.71
219.0,52.63,1.663,11.71
220.0,52.6311,1.662,11.7
221.0,52.6324,1.662,11.7
222.0,52.6337,1.663,11.7
223.0,52.6351,1.66,11.69
224.0,52.6366,1.659,11.69
225.0,52.6381,1.657,11.7
226.0,52.6398,1.655,11.69
227.0,52.6414,1.659,11.69
228.0,52.6432,1.666,11.69
229.0,52.645,1.665,11.7
230.0,52.6469,1.662,11.71
231.0,52.6488,1.659,11.72
232.0,52.6508,1.656,11.71
233.0,52.6528,1.657,11.7
234.0,52.6549,1.66,11.7
235.0,52.657,1.659,11.69
236.0,52.6592,1.66,11.68
237.0,52.6614,1.665,11.69
238.0,52.6636,1.664,11.69
239.0,52.6659,1.661,11.7
240.0,52.6682,1.657,11.71
241.0,52.6706,1.654,11.7
242.0,52.673,1.656,11.7
243.0,52.6754,1.663,11.71
244.0,52.6778,1.664,11.71
245.0,52.6802,1.662,11.71
246.0,52.6826,1.662,11.7
247.0,52.6851,1.66,11.7
248.0,52.6876,1.658,11.69
249.0,52.69,1.658,11.69
250.0,52.6925,1.656,11.68
251.0,52.6949,1.657,11.69
252.0,52.6974,1.664,11.7
253.0,52.6998,1.666,11.71
254.0,52.7022,1.663,11.72
255.0,52.7047,1.659,11.71
256.0,52.7071,1.655,11.71
257.0,52.7094,1.655,11.7
258.0,52.7118,1.66,11.7
259.0,52.7141,1.662,11.69
260.0,52.7164,1.661,11.69
261.0,52.7186,1.663,11.69
262.0,52.7208,1.663,11.7
263.0,52.723,1.661,11.7
264.0,52.7251,1.658,11.69
265.0,52.7272,1.655,11.7
266.0,52.7292,1.655,11.71
267.0,52.7312,1.661,11.72
268.0,52.7332,1.666,11.71
269.0,52.735,1.664,11.71
270.0,52.7368,1.661,11.7
271.0,52.7386,1.659,11.69
272.0,52.7403,1.657,11.69
273.0,52.7419,1.658,11.68
274.0,52.7435,1.659,11.69
275.0,52.745,1.658,11.7
276.0,52.7464,1.661,11.71
277.0,52.7478,1.666,11.71
278.0,52.749,1.664,11.71
279.0,52.7502,1.66,11.71
280.0,52.7514,1.656,11.71
281.0,52.7524,1.654,11.7
282.0,52.7534,1.658,11.7
283.0,52.7543,1.663,11.7
284.0,52.7551,1.663,11.69
285.0,52.7559,1.662,11.69
286.0,52.7565,1.662,11.69
287.0,52.7571,1.66,11.69
288.0,52.7576,1.658,11.69
289.0,52.758,1.657,11.71
290.0,52.7584,1.655,11.72
291.0,52.7586,1.658,11.72
292.0,52.7588,1.665,11.71
293.0,52.7589,1.666,11.7
294.0,52.7589,1.662,11.7
295.0,52.7588,1.659,11.69
296.0,52.7587,1.656,11.69
297.0,52.7585,1.656,11.69
298.0,52.7582,1.66,11.7
299.0,52.7578,1.66,11.7
300.0,52.7574,1.66,11.7
301.0,52.7569,1.664,11.7
302.0,52.7563,1.664,11.7
303.0,52.7556,1.661,11.71
304.0,52.7549,1.658,11.71
305.0,52.7541,1.654,11.71
306.0,52.7533,1.655,11.7
307.0,52.7524,1.662,11.7
308.0,52.7514,1.665,11.69
309.0,52.7504,1.663,11.68
310.0,52.7493,1.661,11.68
311.0,52.7482,1.659,11.69
312.0,52.747,1.657,11.71
313.0,52.7458,1.658,11.71
314.0,52.7445,1.657,11.71
315.0,52.7432,1.657,11.71
316.0,52.7419,1.663,11.7
317.0,52.7405,1.666,11.7
318.0,52.7391,1.663,11.7
319.0,52.7377,1.659,11.69
320.0,52.7362,1.656,11.69
321.0,52.7347,1.654,11.7
322.0,52.7332,1.659,11.7
323.0,52.7317,1.663,11.69
324.0,52.7302,1.661,11.69
325.0,52.7287,1.662,11.7
326.0,52.7272,1.663,11.71
327.0,52.7257,1.661,11.72
328.0,52.7242,1.658,11.71
329.0,52.7226,1.656,11.71
330.0,52.7212,1.655,11.7
331.0,52.7197,1.66,11.69
332.0,52.7182,1.666,11.68
333.0,52.7168,1.665,11.68
334.0,52.7154,1.661,11.69
335.0,52.714,1.659,11.7
336.0,52.7127,1.656,11.71
337.0,52.7113,1.658,11.71
338.0,52.7101,1.66,11.7
339.0,52.7089,1.659,11.71
340.0,52.7077,1.661,11.71
341.0,52.7066,1.665,11.71
342.0,52.7055,1.664,11.7
343.0,52.7045,1.66,11.7
344.0,52.7036,1.657,11.69
345.0,52.7027,1.654,11.69
346.0,52.7019,1.657,11.69
347.0,52.7012,1.663,11.69
348.0,52.7006,1.664,11.7
349.0,52.7,1.662,11.71
350.0,52.6995,1.662,11.72
351.0,52.6991,1.66,11.71
352.0,52.6988,1.658,11.71
353.0,52.6985,1.658,11.7
354.0,52.6984,1.656,11.7
355.0,52.6984,1.658,11.69
356.0,52.6984,1.664,11.69
357.0,52.6986,1.666,11.69
358.0,52.6989,1.663,11.7
359.0,52.6992,1.659,11.7
360.0,52.6997,1.655,11.7
361.0,52.7003,1.656,11.7
362.0,52.701,1.66,11.71
363.0,52.7018,1.661,11.71
364.0,52.7027,1.66,11.71
365.0,52.7037,1.663,11.71
366.0,52.7049,1.664,11.7
367.0,52.7061,1.661,11.69
368.0,52.7075,1.658,11.69
369.0,52.709,1.655,11.68
370.0,52.7106,1.655,11.69
371.0,52.7123,1.662,11.7
372.0,52.7142,1.666,11.71
373.0,52.7161,1.663,11.71
374.0,52.7182,1.661,11.71
375.0,52.7204,1.659,11.71
376.0,52.7227,1.657,11.7
377.0,52.7252,1.658,11.7
378.0,52.7277,1.658,11.7
379.0,52.7304,1.658,11.69
380.0,52.7332,1.662,11.69
381.0,52.7361,1.666,11.69
382.0,52.7391,1.664,11.69
383.0,52.7422,1.66,11.69
384.0,52.7455,1.656,11.69
385.0,52.7488,1.654,11.71
386.0,52.7522,1.658,11.72
387.0,52.7558,1.663,11.72
388.0,52.7595,1.662,11.71
389.0,52.7632,1.662,11.7
390.0,52.7671,1.662,11.7
391.0,52.771,1.66,11.69
392.0,52.7751,1.659,11.68
393.0,52.7792,1.657,11.69
394.0,52.7834,1.655,11.7
395.0,52.7877,1.659,11.7
396.0,52.7921,1.665,11.7
397.0,52.7966,1.665,11.7
398.0,52.8011,1.662,11.7
399.0,52.8057,1.659,11.71
400.0,52.8104,1.656,11.71
401.0,52.8152,1.657,11.71
402.0,52.82,1.66,11.7
403.0,52.8249,1.66,11.7
404.0,52.8298,1.66,11.69
405.0,52.8348,1.664,11.69
406.0,52.8398,1.664,11.68
407.0,52.8449,1.661,11.69
408.0,52.85,1.657,11.7
409.0,52.8551,1.654,11.71
410.0,52.8603,1.656,11.72
411.0,52.8655,1.663,11.71
412.0,52.8707,1.665,11.71
413.0,52.8759,1.662,11.7
414.0,52.8812,1.661,11.7
415.0,52.8864,1.659,11.69
416.0,52.8917,1.658,11.69
417.0,52.8969,1.658,11.69
418.0,52.9022,1.657,11.7
419.0,52.9075,1.657,11.7
420.0,52.9127,1.663,11.69
421.0,52.9179,1.666,11.7
422.0,52.9231,1.663,11.71
423.0,52.9283,1.659,11.72
424.0,52.9335,1.656,11.71
425.0,52.9386,1.655,11.71
426.0,52.9437,1.66,11.7
427.0,52.9487,1.662,11.69
428.0,52.9537,1.661,11.69
429.0,52.9586,1.662,11.68
430.0,52.9635,1.663,11.69
431.0,52.9684,1.661,11.7
432.0,52.9731,1.658,11.71
433.0,52.9778,1.656,11.71
434.0,52.9825,1.655,11.71
435.0,52.987,1.661,11.71
436.0,52.9915,1.666,11.71
437.0,52.9959,1.664,11.7
438.0,53.0003,1.661,11.7
439.0,53.0045,1.659,11.7
440.0,53.0086,1.656,11.69
441.0,53.0127,1.658,11.69
442.0,53.0167,1.659,11.69
443.0,53.0205,1.658,11.69
444.0,53.0243,1.661,11.7
445.0,53.0279,1.665,11.71
446.0,53.0315,1.664,11.72
447.0,53.0349,1.66,11.72
448.0,53.0382,1.656,11.71
449.0,53.0414,1.654,11.7
450.0,53.0445,1.657,11.7
451.0,53.0475,1.663,11.69
452.0,53.0504,1.663,11.69
453.0,53.0531,1.662,11.69
454.0,53.0557,1.662,11.7
455.0,53.0582,1.66,11.7
456.0,53.0606,1.658,11.7
457.0,53.0628,1.657,11.7
458.0,53.0649,1.655,11.7
459.0,53.0669,1.658,11.71
460.0,53.0687,1.665,11.71
461.0,53.0704,1.666,11.71
462.0,53.072,1.662,11.7
463.0,53.0735,1.659,11.7
464.0,53.0748,1.655,11.69
465.0,53.076,1.656,11.68
466.0,53.077,1.66,11.68
467.0,53.0779,1.661,11.69
468.0,53.0787,1.66,11.71
469.0,53.0794,1.663,11.71
470.0,53.0799,1.664,11.71
471.0,53.0803,1.661,11.71
472.0,53.0806,1.658,11.7
473.0,53.0807,1.654,11.7
474.0,53.0807,1.655,11.7
475.0,53.0806,1.662,11.69
476.0,53.0803,1.665,11.69
477.0,53.08,1.663,11.7
478.0,53.0795,1.661,11.69
479.0,53.0788,1.659,11.69
480.0,53.0781,1.657,11.69
481.0,53.0772,1.658,11.7
482.0,53.0763,1.658,11.71
483.0,53.0752,1.657,11.72
484.0,53.074,1.662,11.71
485.0,53.0726,1.666,11.7
486.0,53.0712,1.663,11.7
487.0,53.0697,1.66,11.69
488.0,53.068,1.656,11.68
489.0,53.0663,1.654,11.68
490.0,53.0644,1.659,11.69
491.0,53.0625,1.663,11.7
492.0,53.0605,1.662,11.71
493.0,53.0583,1.662,11.7
494.0,53.0561,1.663,11.7
495.0,53.0538,1.66,11.71
496.0,53.0514,1.659,11.71
497.0,53.0489,1.656,11.71
498.0,53.0464,1.655,11.7
499.0,53.0437,1.659,11.7
500.0,53.041,1.666,11.69
501.0,53.0382,1.665,11.69
502.0,53.0354,1.662,11.68
503.0,53.0325,1.659,11.69
504.0,53.0295,1.656,11.7
505.0,53.0265,1.657,11.71
506.0,53.0234,1.66,11.72
507.0,53.0202,1.659,11.71
508.0,53.017,1.661,11.71
509.0,53.0137,1.665,11.7
510.0,53.0104,1.664,11.7
511.0,53.0071,1.66,11.69
512.0,53.0037,1.657,11.69
513.0,53.0003,1.654,11.69
514.0,52.9968,1.657,11.7
515.0,52.9933,1.663,11.7
516.0,52.9898,1.664,11.7
517.0,52.9862,1.662,11.7
518.0,52.9826,1.662,11.71
519.0,52.979,1.66,11.71
520.0,52.9754,1.658,11.71
521.0,52.9718,1.658,11.71
522.0,52.9681,1.656,11.7
523.0,52.9644,1.658,11.69
524.0,52.9607,1.664,11.69
525.0,52.957,1.666,11.68
526.0,52.9533,1.663,11.69
527.0,52.9496,1.659,11.7
528.0,52.9459,1.655,11.71
529.0,52.9421,1.655,11.71
530.0,52.9384,1.66,11.71
531.0,52.9347,1.662,11.71
532.0,52.9309,1.661,11.71
533.0,52.9272,1.663,11.7
534.0,52.9235,1.664,11.7
535.0,52.9197,1.661,11.7
536.0,52.916,1.658,11.69
537.0,52.9123,1.655,11.69
538.0,52.9086,1.655,11.69
539.0,52.9049,1.661,11.69
540.0,52.9013,1.666,11.69
541.0,52.8976,1.664,11.71
542.0,52.8939,1.661,11.72
543.0,52.8903,1.659,11.72
544.0,52.8866,1.657,11.71
545.0,52.883,1.658,11.7
546.0,52.8794,1.659,11.7
547.0,52.8758,1.658,11.69
548.0,52.8722,1.662,11.69
549.0,52.8687,1.666,11.69
550.0,52.8651,1.664,11.7
551.0,52.8616,1.66,11.7
552.0,52.858,1.656,11.7
553.0,52.8545,1.654,11.7
554.0,52.851,1.658,11.7
555.0,52.8475,1.663,11.71
556.0,52.8441,1.663,11.71
557.0,52.8406,1.662,11.71
558.0,52.8371,1.662,11.7
559.0,52.8337,1.66,11.7
560.0,52.8303,1.658,11.69
561.0,52.8268,1.657,11.68
562.0,52.8234,1.655,11.68
563.0,52.82,1.659,11.69
564.0,52.8166,1.665,11.71
565.0,52.8132,1.665,11.71
566.0,52.8098,1.662,11.71
567.0,52.8065,1.659,11.71
568.0,52.8031,1.656,11.7
569.0,52.7997,1.657,11.7
570.0,52.7963,1.66,11.7
571.0,52.793,1.66,11.69
572.0,52.7896,1.66,11.69
573.0,52.7862,1.664,11.7
574.0,52.7829,1.664,11.7
575.0,52.7795,1.661,11.69
576.0,52.7761,1.657,11.69
577.0,52.7727,1.654,11.7
578.0,52.7693,1.656,11.71
579.0,52.766,1.663,11.72
580.0,52.7626,1.665,11.71
581.0,52.7592,1.663,11.71
582.0,52.7557,1.661,11.7
583.0,52.7523,1.659,11.69
584.0,52.7489,1.658,11.68
585.0,52.7454,1.658,11.68
586.0,52.742,1.657,11.69
587.0,52.7385,1.657,11.7
588.0,52.735,1.663,11.71
589.0,52.7315,1.666,11.71
590.0,52.728,1.663,11.7
591.0,52.7245,1.659,11.71
592.0,52.721,1.656,11.71
593.0,52.7174,1.655,11.71
594.0,52.7138,1.659,11.7
595.0,52.7102,1.662,11.7
596.0,52.7066,1.661,11.69
597.0,52.703,1.662,11.69
598.0,52.6994,1.663,11.69
599.0,52.6957,1.661,11.69
600.0,52.6921,1.658,11.7
